att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,target
-0.62947,-0.67075,-0.6922,-0.71807,-0.73797,-0.76145,-0.77998,-0.82269,-0.84879,-0.85783,-0.87736,-0.87736,-0.88675,-0.87844,0.05456,0.3707,0.6016,0.77997,1.034,1.2345,1.295,1.3879,1.6511,1.2782,0.96503,-7.2174,0.68803,0.60796,0.56644,0.58126,0.55309,0.58296,0.58868,0.59609,0.59016,0.56742,0.50515,0.45967,0.47806,0.42458,0.32325,0.15243,-0.063559,-0.21255,-0.3035,0.19191,0.29275,0.34006,0.35488,0.3581,0.35142,0.33437,0.31336,0.29656,0.27061,0.24763,0.21056,0.29275,0.16236,0.096079,0.059306,0.023717,-0.007917,-0.047459,-0.12753,-0.075633,-0.24557,-0.28916,-0.3292,-0.39889,-0.45277,-0.50951,-0.53976,-0.55518,-0.57196,-0.53502,-0.60909,-0.59364,0.063118,0.03558,0.071909,0.28173,0.46086,0.69693,1
-0.21062,-0.11958,-0.14598,-0.089906,-0.13204,-0.11151,-0.088813,0.030626,-0.017302,-0.047656,-0.10309,0.12919,0.16546,0.23426,-0.028468,-0.013137,0.031719,0.084138,0.11467,0.18866,0.18431,0.17388,0.20604,0.25289,0.4567,0.55756,0.69637,0.78246,0.82381,0.91896,0.98008,0.87602,0.84983,0.77857,0.65694,0.5104,0.51147,0.66654,0.52685,0.47648,0.45241,0.49109,0.49109,0.45957,-5.7545,0.52542,0.5297,0.4825,0.43777,0.50309,0.47605,0.3975,0.37163,0.30574,0.22051,0.17301,0.13123,0.13427,0.10014,0.019471,-0.065536,-0.16265,-0.18166,-0.30384,-0.3526,-0.47602,-0.66837,-0.73466,-0.80224,-0.84626,-0.86886,-0.83196,-0.7124,-5.7545,-0.37701,-0.30384,-0.17902,-0.086608,0.013494,0.026472,0.168,0.21125,0.23208,0.3522,2
-0.032347,-0.022037,0.009403,-0.099033,-0.060332,-0.011448,-0.090197,-0.0946,-0.079543,-0.20723,-0.32615,-0.36175,-0.33222,0.72642,0.72567,0.87659,0.92316,0.92856,0.92165,0.9424,0.97236,0.9689,0.99155,1.0267,1.006,1.015,1.0495,1.0628,1.0822,1.0612,1.077,1.0612,1.1012,1.1376,1.2113,1.2789,1.2731,1.3065,1.2525,1.3507,1.3016,1.4155,1.3784,1.4456,1.4656,1.4283,1.4955,-0.33765,-0.47085,-0.76959,-0.8716,-0.89754,-0.82157,-0.9567,-1.1077,-0.92331,-0.65271,-0.58771,-0.85598,-0.9493,-1.1322,-1.2293,-1.2565,-1.3293,-1.5015,-1.3002,-1.305,-1.2097,-1.1362,-1.131,-1.1455,-1.0281,-0.98108,-0.9209,-0.90373,-0.97627,-0.98108,-0.96663,-0.97747,-0.98521,-0.98349,-1.0404,-0.98976,-0.94063,2
-1.4502,-1.5111,-1.5375,-1.5927,-1.6312,-1.6804,-1.692,-1.7561,-1.8353,-1.8377,-1.8233,-1.4494,-0.90345,-0.46778,-0.09407,0.2806,0.48715,0.57041,0.62885,0.77055,0.81186,0.90265,0.96509,0.9803,1.0837,1.2221,1.2586,1.4248,1.5151,1.5991,1.6121,1.632,1.6064,1.5429,1.4751,1.347,1.3777,1.2341,1.0645,0.97024,0.91946,0.77536,0.70811,0.63445,0.54575,0.44472,0.36226,0.27099,0.20374,0.13289,0.090863,0.040426,0.040427,0.021213,-0.030024,-0.091668,-0.12289,-0.15651,-0.21175,-0.2718,-0.30542,-0.34289,-0.35346,-0.43031,-0.49756,-0.57922,-0.62245,-0.62085,-0.66088,-0.67048,-0.73293,-0.74134,-0.84941,-0.88744,-0.88344,-0.89304,-0.86382,-0.87343,-0.85782,0.020012,-0.098874,0.18453,0.42831,0.72572,1
-1.0381,-1.0775,-1.1015,-1.137,-1.1706,-1.2126,-1.2326,-1.277,-1.3338,-1.3612,-1.3971,-1.4211,-1.4363,-1.4583,-1.4583,0.24214,1.0183,1.4975,1.8754,2.1878,1.165,0.9618,0.99482,0.87171,0.68725,0.67419,0.67861,0.68821,0.82395,0.86018,0.79613,0.86311,0.80093,0.81502,0.81663,0.8309,0.82474,0.76027,0.73392,0.68122,0.44919,0.38573,0.33464,0.31121,0.28407,0.2329,0.17068,0.13603,0.079186,-0.007428,-0.069197,-0.12164,-0.17448,-0.23757,-0.29681,-0.39768,-0.45436,-0.48307,-0.50272,-0.52663,-0.55798,-0.58762,-0.64778,-0.71727,-0.76805,-0.82358,-0.89051,-0.91188,-0.94591,-0.99138,-1.0258,-1.0532,-1.0515,-1.0436,-1.0394,-1.0404,0.23125,1.4966,2.0412,2.4684,1.3244,1.0831,1.0854,1.2166,1
-0.29633,-0.52524,-0.64323,-0.66443,-0.46614,-4.3935,-0.47277,-0.45182,-0.24982,0.07162,0.18893,0.33016,0.48539,-4.3935,0.95231,1.079,1.3201,1.5858,1.7469,0.89952,0.66588,0.75802,0.75673,0.75415,0.75221,0.73736,0.75415,0.77866,0.80135,0.82246,0.83532,0.83017,0.81731,0.81216,0.80521,0.78962,0.8054,0.81699,0.7309,0.65169,0.65869,0.68435,0.67347,0.66258,0.63477,0.58158,0.48149,0.35381,0.27884,0.19572,0.1604,0.10765,0.032583,-0.032577,-0.083859,-0.1437,-0.19401,-0.23434,-0.66373,0.025263,0.035576,-0.044384,-0.22512,-0.3973,-0.55928,-0.68428,-0.79954,-0.84238,-0.98172,-1.1959,-1.3043,-1.2973,-1.2584,-1.2952,-1.2008,-1.0802,-0.94311,-0.78511,-0.59541,-0.40522,-0.28147,-0.10687,0.11478,0.37544,2
0.77854,0.74884,0.726,0.70376,0.64638,0.67266,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,0.82923,-1.0125,0.73562,0.71393,0.67929,0.63291,0.61466,-1.0125,0.56288,0.52297,0.55399,0.69676,0.92507,1.3198,-1.0125,1.6402,1.3246,1.0257,1.0129,0.95643,0.90079,0.86506,0.8383,0.80752,0.77123,0.71491,0.66193,0.61339,0.57297,0.53773,0.73631,0.97459,1.0644,1.3719,1.6176,1.528,1.3471,1.2011,-1.0125,1.2724,1.5788,1.5019,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,-1.0125,1
-0.93323,-0.96281,-0.99211,-1.015,-1.0337,-1.0531,-1.066,-1.0724,-1.0926,-1.1014,-1.0974,-1.0916,-0.97201,-0.68381,-0.36689,-0.086642,0.17931,0.44555,0.68886,0.93444,1.1158,1.2486,1.3538,1.4833,1.5994,1.6935,1.7409,1.7101,1.7051,1.6123,1.5846,1.5476,1.4236,1.4457,1.4316,1.3931,1.2567,1.0706,0.72863,0.44953,0.29676,0.18429,0.081312,-0.028646,-0.12094,-0.17985,-0.26312,-0.32625,-0.37828,-0.42282,-0.45755,-0.51831,-0.56595,-0.61998,-0.65535,-0.69188,-0.72979,-0.76583,-0.81045,-0.85717,-0.89659,-0.93707,-0.96737,-0.99736,-1.0361,-1.0585,-1.0848,-1.1164,-1.1416,-1.1641,-1.1519,-1.045,-0.82806,-0.53709,-0.27085,-0.030895,0.22903,0.47759,0.63666,0.84297,0.99086,1.1245,1.197,1.3731,1
-0.5066,-0.47651,-0.39193,-0.35153,-0.3728,-0.35669,-0.33092,-0.24953,-0.13999,-0.038713,0.01566,0.070046,0.16914,0.19765,0.22327,0.24941,0.3108,0.32125,0.30035,0.27943,0.33796,0.37031,0.38803,0.42412,0.44908,0.41481,0.41857,0.37969,0.43383,0.45295,0.51983,0.456,0.50029,0.46209,0.41996,0.34465,0.18295,0.088201,0.055686,0.011713,0.055123,0.002812,0.001555,-6.1087,0.079336,0.077643,0.1479,0.205,0.21655,0.17314,0.17384,0.13931,0.10297,0.12994,0.15982,0.14209,0.26268,0.297,0.32683,0.40219,0.42065,0.46846,0.50962,0.51273,0.53759,0.55345,0.57277,-6.1087,0.45877,0.32334,0.2543,0.060756,-0.33092,-0.21819,-0.25488,-0.38247,-0.35813,-0.31967,-0.20619,-0.018576,0.05794,0.1156,0.15435,0.17791,2
-0.40837,-0.32777,-0.34288,-1.4984,-0.21999,-0.47757,-0.62553,-0.60179,-0.4906,-0.42711,-0.492,-0.4682,-0.46605,-0.49328,-0.13824,-0.028,-0.002573,0.15329,0.08199,0.13191,-1.4848,0.45876,0.46868,0.55498,0.70724,0.77261,0.79337,1.0516,1.1644,1.3739,1.6467,1.7479,0.99273,0.92966,1.066,0.90018,0.89738,0.95912,0.96033,0.94228,0.99907,0.95311,0.95211,0.92405,0.89739,0.86286,0.905,0.95492,0.87828,0.9026,0.92685,0.81828,0.77472,0.85804,0.89418,0.85488,0.80019,0.71934,0.62987,0.47548,0.2323,-0.005137,-0.11248,-0.24695,-0.33929,-0.46317,-0.62082,-0.74022,-0.83704,-0.90927,-0.95917,-2.275,-1.3826,-1.5678,-1.8879,-1.8499,-1.8403,-1.6429,-1.2009,-1.4552,-1.5726,-1.5181,-1.722,-1.8265,2
