att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,target
0.7825,1.4803,2.178,2.178,2.3525,1.8292,0.95694,-0.4386,-1.1364,-1.4853,-1.8341,-1.6597,-1.4853,-1.3108,-1.3108,-1.4853,-1.4853,-1.1364,-0.4386,0.084729,0.084729,0.25917,0.25917,0.43361,0.43361,0.43361,0.25917,0.25917,0.25917,0.084729,0.25917,0.25917,0.25917,0.25917,0.25917,0.25917,-0.089713,-0.4386,0.084729,-0.089713,0.25917,0.60806,1.3058,1.8292,1.8292,1.1314,0.43361,-0.26416,-0.78748,-1.1364,-0.96193,-1.1364,-1.4853,-1.6597,-1.4853,-1.1364,-0.4386,0.25917,0.43361,0.25917,0.084729,0.084729,0.25917,0.43361,0.084729,0.084729,-0.089713,0.084729,0.25917,0.43361,2
1.0807,0.027094,-0.18363,1.5022,2.7665,1.0807,-0.18363,-1.0265,-1.2373,-0.60509,0.23782,-0.39436,-1.448,-1.8695,-1.8695,-1.0265,-0.39436,-0.39436,-0.39436,-0.39436,0.23782,0.87,0.87,1.0807,1.0807,1.2915,1.2915,1.0807,0.65928,0.44855,0.23782,0.027094,-0.18363,-0.18363,-0.18363,-0.60509,-0.60509,-1.0265,-0.81582,-1.0265,-1.6587,-1.6587,-0.18363,1.2915,1.7129,0.65928,-0.39436,-0.81582,-1.0265,-0.39436,0.23782,0.027094,-1.0265,-1.8695,-2.0802,-1.0265,0.23782,1.5022,1.2915,0.87,0.44855,0.027094,0.23782,0.65928,0.65928,0.44855,0.027094,0.44855,0.65928,0.87,1
0.85996,2.1273,2.7609,2.9721,2.1273,1.0712,-0.19613,-0.61857,-1.2522,-1.2522,-1.041,-1.2522,-1.2522,-1.4634,-1.2522,-1.041,-0.82978,-0.82978,-1.2522,-0.61857,-0.19613,0.2263,0.2263,0.2263,0.015087,0.2263,0.015087,0.015087,0.015087,-0.19613,0.015087,0.2263,0.015087,0.015087,0.2263,-0.19613,0.015087,0.64874,0.64874,0.64874,1.2824,1.7048,1.7048,1.0712,0.015087,-0.61857,-1.041,-1.2522,-1.041,-0.40735,0.015087,-0.61857,-1.8859,-1.8859,-1.2522,-0.40735,0.015087,0.43752,0.43752,0.2263,0.2263,0.43752,0.43752,0.015087,0.015087,0.015087,0.015087,0.43752,0.64874,0.64874,2
0.4466,1.4887,2.1139,2.3223,1.4887,0.65501,0.029773,-1.0123,-1.4291,-1.4291,-1.0123,-1.2207,-1.6375,-1.6375,-1.2207,-0.59546,-0.17864,0.23818,0.23818,0.029773,-0.17864,0.23818,0.23818,0.029773,0.029773,0.23818,0.23818,0.65501,0.86342,1.0718,0.86342,0.4466,0.23818,0.23818,0.23818,0.23818,0.23818,0.4466,0.86342,0.4466,1.0718,1.9055,1.6971,1.9055,1.0718,0.029773,-1.0123,-1.6375,-1.8459,-1.2207,-1.0123,-1.0123,-1.6375,-1.8459,-1.6375,-1.0123,-0.59546,-0.38705,-0.17864,-0.17864,0.029773,0.23818,0.4466,0.4466,0.23818,0.23818,0.23818,0.23818,0.029773,0.029773,2
0.16473,1.213,1.6323,2.0516,1.4227,0.58404,-0.25458,-0.88354,-1.3029,-1.0932,-0.67389,-1.0932,-1.5125,-1.5125,-1.3029,-0.67389,-0.044926,0.16473,0.16473,0.16473,-0.044926,-0.044926,0.16473,0.16473,0.16473,0.58404,1.0033,1.0033,1.0033,0.79369,0.58404,0.37438,0.37438,0.37438,0.58404,0.58404,0.58404,0.58404,0.79369,0.16473,1.213,1.842,2.2613,1.842,0.79369,-0.044926,-0.88354,-1.7222,-1.5125,-1.5125,-1.0932,-0.88354,-1.5125,-1.9318,-1.9318,-1.7222,-0.88354,-0.67389,-0.46424,-0.25458,-0.044926,0.16473,0.37438,0.37438,0.37438,0.16473,0.37438,0.16473,0.16473,-0.044926,2
-0.54621,0.17069,0.64863,1.3655,1.1266,0.40966,-0.30724,-0.78518,-0.78518,-0.54621,-0.30724,-0.30724,-0.78518,-1.2631,-1.5021,-1.0241,-0.54621,0.17069,0.40966,0.40966,0.17069,0.17069,0.17069,0.40966,0.40966,0.40966,0.40966,0.64863,0.8876,0.8876,0.8876,1.1266,0.64863,0.64863,0.40966,0.64863,0.64863,0.40966,0.64863,0.64863,0.64863,1.6045,1.8435,2.0824,2.3214,1.3655,0.17069,-1.0241,-1.98,-2.458,-2.219,-1.7411,-1.5021,-1.7411,-1.7411,-1.2631,-1.0241,-0.78518,-0.54621,-0.30724,-0.068277,0.17069,0.17069,0.17069,0.17069,0.40966,0.17069,-0.068277,-0.068277,-0.068277,2
-0.70754,-0.068472,0.5706,1.5292,2.1683,0.25106,-0.38801,-0.068472,-0.068472,-0.70754,-0.38801,-0.38801,-0.068472,-0.38801,-0.70754,-1.3466,-1.3466,-1.3466,-0.70754,-0.38801,-0.38801,-0.068472,0.25106,0.5706,0.25106,0.25106,0.25106,0.25106,-0.068472,0.25106,0.25106,0.5706,0.5706,0.5706,0.25106,0.25106,-0.068472,0.25106,-0.068472,0.89014,1.5292,2.1683,2.1683,2.1683,2.1683,0.5706,-1.0271,-1.0271,-1.3466,-1.0271,-1.0271,-1.6662,-1.6662,-2.3052,-2.6248,-1.6662,-0.068472,0.25106,-0.38801,-0.068472,0.25106,0.5706,0.5706,0.5706,0.25106,0.5706,0.5706,0.5706,0.25106,0.25106,1
0.16467,1.3174,1.0868,0.62574,0.16467,-0.065868,-0.2964,-0.2964,-0.065868,0.16467,-0.2964,-0.98801,-1.4491,-1.6796,-1.4491,-0.52694,0.16467,0.16467,-0.065868,0.16467,0.16467,0.85628,0.85628,0.39521,0.16467,0.16467,0.16467,0.39521,0.85628,0.85628,0.85628,0.62574,0.62574,0.85628,0.85628,0.62574,0.62574,0.39521,0.62574,0.62574,1.5479,1.7784,1.7784,2.2395,1.3174,0.16467,-0.75748,-1.4491,-1.4491,-0.98801,-0.75748,-1.4491,-2.1407,-2.6018,-2.3712,-1.9102,-1.4491,-0.75748,-0.75748,-0.2964,-0.065868,0.39521,0.62574,0.62574,0.16467,0.16467,0.16467,-0.065868,-0.065868,-0.065868,2
-0.84621,0.094024,1.0343,1.9745,1.5044,1.0343,0.094024,-1.0813,-1.0813,-0.3761,-0.61116,-1.0813,-2.2566,-2.7267,-1.7865,-0.3761,0.32908,0.7992,0.56414,0.094024,-0.3761,-0.14104,-0.14104,0.094024,0.094024,0.094024,0.094024,0.094024,0.32908,0.56414,0.56414,0.56414,0.56414,0.32908,0.32908,0.56414,0.32908,0.56414,0.7992,0.7992,0.32908,-0.3761,-0.14104,1.5044,1.9745,1.2693,0.56414,-0.3761,-1.0813,-0.61116,-0.14104,-0.3761,-1.0813,-2.0215,-2.7267,-2.4916,-1.0813,-0.3761,-0.14104,-0.14104,-0.14104,0.32908,0.32908,0.7992,0.7992,0.7992,0.7992,0.7992,0.7992,0.7992,1
1.2565,2.3457,2.3457,2.0734,1.2565,0.16727,-1.1942,-1.4665,-0.92193,-0.64963,-0.64963,-1.4665,-1.7388,-1.7388,-2.0111,-1.7388,-1.1942,-0.64963,-0.64963,-0.37733,-0.10503,0.43957,0.71187,0.71187,0.71187,0.43957,0.43957,0.16727,-0.10503,-0.37733,-0.37733,-0.37733,-0.10503,-0.37733,-0.10503,-0.10503,-0.37733,-0.10503,-0.37733,0.16727,0.71187,1.5288,2.0734,1.8011,0.71187,-0.10503,-0.64963,-0.64963,-0.37733,-0.37733,-0.10503,-0.64963,-1.1942,-1.7388,-1.1942,-0.37733,0.16727,0.71187,0.43957,0.43957,0.43957,0.43957,0.43957,0.16727,-0.10503,-0.10503,0.16727,0.71187,1.2565,1.5288,2
