att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,target
-1.1758,1.2141,-1.312,-1.5776,-0.82628,-1.2978,-1.3094,0.095824,-1.279,0.037524,-0.22974,-1.5636,1.5979,0.43122,-1.2119,0.46096,-0.73383,0.35912,0.64337,-0.93558,-0.8797,-0.084758,0.22523,1.0352,1.1134,0.28677,-0.30977,-1.3055,1.7941,0.94438,-0.38273,-1.3545,0.61958,0.63277,0.023803,-0.31775,-0.6442,1.384,-0.60419,1.4564,1.3182,-1.1621,-0.62939,-0.27191,1.2641,0.60704,-0.31484,0.19549,1.034,-0.71728,1.6542,-0.35809,-0.76442,-1.4896,1.25,1.8274,0.69926,1.0109,0.67797,-0.85105,1
0.51256,0.41925,1.2084,1.0286,1.3034,-0.17835,-0.50863,-1.4234,0.22779,1.5378,-0.004224,-1.0568,0.40821,-1.4005,-1.0152,0.040216,-1.1569,0.8493,0.89218,-0.72166,1.2949,-1.3981,0.86461,0.34743,-0.82677,-0.9107,-0.47755,-0.53833,-1.4901,-1.3919,1.2735,-1.2566,-0.76715,-0.8952,-0.1531,0.85647,-1.0222,-1.2783,0.70567,0.844,-1.0615,1.6043,1.5365,-0.93917,0.35576,-1.302,-0.48936,0.40937,0.86469,-0.28104,0.43106,1.5624,1.5032,1.4259,0.13527,1.1636,-1.2906,0.91978,-1.0907,-0.19994,1
-0.27553,0.79688,1.1302,1.5367,0.44474,-0.056489,-2.1249,-0.31039,0.64038,0.86885,-0.59598,-1.8845,-1.2849,0.12513,0.24761,0.83953,-1.487,-1.766,-0.65874,-0.089554,1.3695,-1.0679,-1.0925,0.45748,0.88229,0.25585,0.8149,-0.70268,1.2673,-0.22784,-0.91643,-1.7517,1.0504,-0.39365,0.016793,0.17859,1.5493,-1.1544,-0.83517,-0.51776,1.1922,1.4151,0.62729,-0.090516,0.39741,-0.005593,0.18273,-1.8748,1.2134,-1.1968,-1.5451,0.64849,-0.56949,1.0896,0.33888,0.97436,-0.32842,0.9978,1.2888,-0.033751,1
0.93547,0.88925,-0.85764,-1.0341,-1.1851,-1.284,0.35762,0.42073,-1.3555,-0.65846,-1.1228,1.4551,-0.52595,0.68269,1.1928,-0.33547,0.98643,-1.2184,-0.070629,-1.1195,-0.34891,1.3687,1.5109,-0.62093,-0.90967,-1.2134,0.54592,-0.9083,0.37993,1.5787,0.12497,-0.5523,1.1043,0.051423,0.87979,1.3903,1.2411,0.40946,-0.24323,1.3735,-0.60286,-0.75591,-0.99192,-1.2338,0.1219,-0.79364,1.6406,-1.4147,-0.35967,-1.1735,0.29816,1.5715,-0.14796,1.0708,0.52992,1.1216,-1.4741,-0.51646,1.2923,-1.497,1
1.1636,-0.54496,0.68224,-0.74587,0.24898,-1.3677,0.027031,-1.4698,0.7891,0.42143,0.35982,1.4681,1.1734,0.41863,-1.371,-0.90002,0.46718,-1.0879,-0.39711,0.37116,-0.41252,-0.25243,0.63286,-0.057332,-1.0403,0.62762,-1.7078,-1.0957,-1.9656,0.77477,0.27758,-1.7781,0.12973,0.26659,1.1149,1.3627,1.2083,1.68,0.6485,-0.54671,0.46998,-0.17738,0.91058,-1.6448,-0.10166,0.77652,-0.82534,-0.16537,0.050831,-1.3187,0.73171,0.036373,1.2939,1.185,0.36859,1.5553,-1.3481,1.4024,-1.8539,-0.91927,1
-0.86495,1.4548,-0.8218,-1.5782,-0.82013,0.96664,-0.50375,1.0145,-0.021405,-0.13143,-0.76586,-1.5687,1.3292,-0.60254,0.92859,-1.4845,0.1097,1.4344,0.22341,-0.92368,1.4435,-0.15966,-0.7598,-1.3318,-0.2034,0.11893,0.10721,-1.5037,-0.27713,1.5552,0.32786,-1.193,1.0446,1.3692,0.26625,1.2638,-1.355,0.63289,-1.167,1.1278,-0.17744,-0.16364,0.67901,0.28095,-1.3477,-0.32295,1.2067,-1.1403,1.4951,1.4739,-1.236,-0.20675,0.76043,-0.020512,0.32905,0.29657,0.83605,-1.1812,-1.6,1.3578,1
1.3738,-1.2753,0.65525,-0.06939,-1.3087,1.2512,0.88278,-1.0997,0.70988,1.5644,0.13968,0.1469,1.0976,0.45673,1.1306,1.0815,-0.96468,-1.017,0.10585,0.32878,-0.22599,-1.2147,-0.93191,1.4501,0.66951,1.2512,-0.88833,-0.22774,-0.85838,1.6096,-0.63956,0.35297,-0.10946,1.2325,-1.1921,-1.5194,0.30148,-0.90238,-0.039356,-0.5002,-1.5277,-1.5393,-1.1921,-0.22697,-0.40024,-0.72138,1.5589,-0.82093,1.2532,-0.34798,1.5432,-1.0867,0.37257,-0.80418,1.4536,0.66744,-0.67653,-1.1542,1.5418,-0.7004,1
-1.2604,1.4665,-0.54798,-1.684,0.99051,0.21297,0.72774,-0.033511,-1.1113,0.21877,-0.49562,0.79173,0.9629,-1.0224,-0.83206,1.3627,-1.6457,-0.57212,0.047401,-1.6992,0.026812,-0.1026,-0.051741,1.4582,-1.6634,-0.68555,-1.0295,1.5177,-0.12666,0.25984,0.78551,-1.7015,1.0598,0.78307,0.87722,1.3923,0.015907,0.96373,0.66559,-0.10443,0.96903,-1.556,1.2908,-0.1614,-0.78813,-1.0841,-0.71793,-0.80037,-0.28438,-0.90584,1.3267,-0.89452,0.64042,1.5469,0.23192,1.24,1.5273,-1.1193,-0.58924,-0.088951,1
-1.3433,0.19068,-0.91543,0.494,0.052807,1.3242,-1.4841,-0.45504,0.66081,0.21828,-0.62821,1.6249,-0.32334,-0.63435,-0.57637,-0.50052,0.15783,-0.22961,-0.091975,0.50775,0.023327,0.94845,-1.3389,-1.8056,0.73686,-0.86651,-0.38054,1.0074,-1.4507,1.1908,0.82123,1.0278,-1.7702,0.35859,1.7476,-1.8386,-0.48187,0.87228,-0.53895,-0.62821,-0.11263,0.98411,-0.26447,-1.4439,0.4588,-0.53012,1.6551,-0.58452,0.083869,1.0278,0.17894,-0.93645,1.0456,1.4641,1.7553,-1.6159,0.40821,1.2855,-1.3547,0.81216,1
-0.7112,-1.2939,1.3946,0.26361,0.68307,-1.5365,1.0196,0.45099,1.7133,1.2322,-0.95447,-0.62292,0.39298,1.2193,1.0097,0.2519,-0.85961,-1.3672,-0.40095,1.4755,-1.631,0.15886,1.5623,1.8068,-1.1395,0.067275,1.1013,-1.3567,0.38402,0.49059,-0.28832,0.45313,-0.27808,-1.407,-0.24433,-0.60535,-0.013092,-0.82276,-1.5212,-1.5746,-0.49654,1.377,0.45705,0.56055,0.048459,0.53884,-1.5646,-1.2352,-0.76507,-0.7063,-0.14756,-0.26988,-0.14393,-0.84938,0.17046,1.4073,0.97503,1.4973,1.2364,-0.59227,1
0.99844,0.010591,0.051387,1.2323,1.2478,-0.36688,0.10373,0.90116,-0.26241,0.84945,-0.92888,-1.7703,-1.0794,-1.2426,-0.68633,-1.7017,-1.5174,0.9295,-0.31079,1.1734,0.01445,-1.1182,-1.3647,1.3663,-0.90184,0.52553,0.057148,-1.2216,-0.67845,0.14605,0.9787,1.3357,-1.8431,-0.38003,1.278,1.1716,-0.87642,0.53807,1.1987,0.75066,0.16738,1.3356,0.42216,1.1401,-0.59068,-1.2947,0.87809,-1.0306,1.3661,0.85844,0.54334,0.47137,-1.5425,-1.1606,0.30788,-0.35856,0.458,-0.34966,1.2072,-1.4361,1
0.53038,-0.6685,0.55508,1.1756,0.2472,-0.39226,1.2602,-1.4328,0.77235,0.15107,-0.59543,0.60532,0.1251,1.052,-0.14012,0.30383,1.6951,0.50494,-1.0878,-1.0523,1.0468,1.1423,1.1788,0.12531,0.71984,-0.2262,1.1713,-0.14154,1.2598,-1.224,-0.77136,1.3229,0.069682,1.113,-0.83197,-0.71594,-0.47494,-1.1516,0.62035,1.7585,-0.81042,-1.2814,0.7956,-1.4433,-1.5996,-1.1459,0.91134,0.97239,1.8,-0.76508,0.10117,-1.5783,0.87367,-1.0112,0.41577,-1.1325,-1.4382,-0.73336,-1.3607,-1.1702,1
1.2096,1.358,1.7279,-1.2843,-0.35717,1.6924,-0.50991,-0.11088,-1.3183,0.76865,-1.4119,-0.31051,1.0114,-0.90294,1.3982,-1.5751,-0.93006,-0.77646,-0.24672,-0.4557,-1.3526,-0.20133,0.13836,-1.0794,-0.77029,0.99994,0.89398,-0.30944,-1.3268,-0.35248,0.337,0.5175,0.98952,-0.62534,1.5145,0.9217,0.78992,0.26123,-1.5388,-0.59356,-0.20932,0.25529,0.23179,0.16258,1.0667,0.65727,0.95444,0.59646,1.6257,-0.77148,0.93841,-0.15638,-1.3522,1.5119,1.0126,0.51408,-1.3831,-0.90242,-1.496,-1.4463,1
0.72457,0.99243,-1.0904,0.10266,-0.68157,-1.2088,-1.9199,0.84306,0.11218,1.4927,-0.7155,-0.24181,1.106,0.47692,-0.27596,0.11094,-1.3851,1.5063,-0.14987,1.2533,-1.9581,-1.5522,0.84986,1.0566,-0.38481,-0.20856,-0.069082,1.2252,1.5071,-0.69269,0.72083,0.73421,1.3896,-0.26858,-1.544,1.681,1.66,-0.58363,-1.8175,1.6332,-0.6102,-1.226,-0.39003,0.48249,-0.30047,-0.33338,-0.59373,-0.39365,0.14429,-1.2108,0.35448,-0.96858,-0.31317,0.26584,0.064739,0.15486,-1.5624,0.15656,0.72741,1.1211,1
-0.26885,1.9117,-1.1483,-0.29871,-1.1321,0.20332,0.91708,1.6333,1.9416,0.067112,-1.3182,-1.1244,0.48556,1.2358,0.34238,-0.78661,0.07149,-0.077228,-0.83211,-0.022319,0.15417,-1.037,-0.014626,1.2481,0.085155,-0.3498,-1.0098,1.0435,-1.0395,0.78043,-1.6312,-1.0436,0.23856,-1.5592,-0.11716,-1.0576,0.078963,0.76596,-1.3067,0.094348,0.44135,-1.4796,0.59338,-0.02507,-0.44421,-0.19871,1.1505,-0.66066,0.80238,1.9876,-1.1628,-1.0427,0.14003,1.7062,-0.53079,-0.059873,0.64438,-1.2808,1.2481,2.0477,1
-1.4844,-0.785,0.18251,-1.2911,0.4446,0.24963,0.2153,-0.55154,0.20617,-0.8405,0.015612,1.875,-0.9034,1.8799,-0.11945,1.8847,-0.31712,-0.011476,0.81066,0.5587,-1.1941,0.94798,-1.2035,-1.1601,0.46654,-1.303,-0.51649,1.549,0.69311,0.10736,-0.85221,-0.86384,0.44147,-0.94212,-0.51476,-0.48337,-1.3749,-0.45391,-1.3784,0.86097,0.1835,0.73376,1.1805,-1.1678,1.8584,-0.46606,0.38738,0.19038,1.1567,1.1632,-0.28593,-1.1765,1.7418,1.6466,-1.1495,-1.1085,0.827,-0.35153,0.93703,-1.1451,1
-1.2697,-1.0432,0.94556,-0.077906,-0.10478,-1.4533,1.5185,0.4878,0.19673,0.98271,-1.4023,-1.4581,1.4319,0.5377,-1.047,0.11587,-0.52251,-1.3347,-0.029204,-0.35005,0.63925,-0.58754,0.56319,1.5121,-0.078611,1.5996,-1.0702,-0.61533,0.85534,0.10841,-1.1085,-1.5407,1.5319,0.45773,-0.79805,0.59733,0.3709,0.27082,0.6069,1.5038,-1.5186,0.54985,-1.4661,1.6482,-0.062666,0.36084,-0.55589,1.6666,-0.12501,-1.3108,-0.63974,0.29411,0.89258,-0.51286,-1.5023,1.4551,-1.2867,1.2543,0.30148,-0.3847,1
-1.3453,-1.192,0.44165,1.2513,0.040124,-0.70715,1.0881,1.0108,-0.30329,-1.5682,0.071143,0.63213,1.2448,1.1567,0.051046,1.096,1.1409,0.62409,-1.3705,-0.47004,1.4052,-1.7015,-1.3704,-0.88942,1.3817,-0.68129,1.4065,-0.22224,1.4984,-0.096241,-0.49113,1.4153,1.1751,-0.67529,0.77866,0.32879,-0.68845,0.63137,-1.4261,0.16184,0.53191,1.117,0.81105,0.55597,0.57298,-0.20639,0.96795,-1.2833,-0.44802,-1.6692,0.24025,-1.2676,-1.0225,-1.8062,-0.96182,0.72227,-0.30201,-1.5248,0.4286,-0.28888,1
1.7991,-0.55097,0.89765,-0.51989,0.2162,-1.5061,-0.13887,0.7875,0.12358,-0.33009,-1.4196,-1.6259,1.7086,0.94367,1.8268,-0.86459,-0.88246,0.25593,0.00643,0.70502,-0.87683,-0.68014,0.34645,-0.19949,0.39105,-0.67711,-1.8346,0.4288,-0.037623,-0.82228,1.7349,-0.89624,-0.19437,1.227,0.33628,-1.1332,-0.32096,0.59862,0.49958,-1.3539,-1.0876,1.3902,0.89249,-1.7378,1.0072,1.4352,0.22752,0.061076,1.5578,0.3086,0.51325,1.5558,-0.67432,-0.88046,0.5032,-1.6691,-0.51416,0.81692,-0.91796,-0.75584,1
0.075424,0.002188,-1.5398,1.2387,-1.4983,1.2411,0.092778,-1.1282,1.3771,-1.5265,1.4195,0.43465,-0.054923,-0.99172,-0.36105,1.2834,-0.32607,0.33887,-1.6651,0.83254,-0.26866,1.2378,0.87044,1.4423,0.014712,-0.86505,-1.0354,-1.2286,0.95489,-0.67446,1.2935,-0.1865,-0.933,0.81881,0.84056,1.411,-0.71506,0.78776,1.3552,-1.6992,1.0853,-1.1522,-1.6372,-0.5488,-0.86213,0.44248,-1.0333,0.25931,1.4553,0.56191,-1.1305,1.0046,0.71089,-0.39131,0.85409,-0.57336,0.19969,-0.19932,-0.28208,-1.4291,1
1.1605,1.2285,0.026596,-0.91349,-0.90553,0.80415,-1.3064,0.18811,-0.74037,-1.2301,-0.21453,0.061744,-1.3354,-1.5587,-1.5598,-0.261,-0.79427,1.2377,1.3483,-1.044,1.7031,-0.48211,1.1135,0.45591,0.21072,-0.82775,0.62189,0.15381,1.7573,-0.10951,1.3232,0.63527,-0.13864,-1.3942,0.11815,-1.1608,1.7173,-1.6137,0.47695,-1.0131,0.024535,-0.050844,0.95313,1.6039,-0.44967,-1.1654,0.68936,-0.68179,-0.41173,-0.61429,-1.3336,1.6187,1.6373,0.6307,-0.88416,0.35659,1.2163,-0.81832,-0.1516,0.091698,1
0.58567,1.4197,-0.7547,-1.4232,0.3563,-0.41946,-0.58371,0.15826,-0.47579,-1.5792,0.16556,1.4934,-1.4084,-0.24771,-1.5925,-0.48426,-0.2166,-1.5124,-0.63197,-0.13097,1.3031,-1.4439,0.91415,-0.67994,1.3165,-0.36764,-1.345,0.7791,-0.96756,-0.39188,0.056559,1.2738,-0.42052,-0.26442,-1.0943,0.44643,-0.49948,1.1263,0.31531,1.5606,1.7497,0.62461,-1.6128,-0.14654,-1.6554,-0.64991,0.2428,0.52805,1.1966,0.28733,-1.4641,1.4617,-0.49016,1.1874,0.22156,0.5024,1.6104,1.3447,-0.36848,1.0948,1
0.91035,-0.70302,0.11644,-1.0749,-1.5354,-0.77924,0.55817,1.6452,-1.3489,0.42971,-0.54302,0.73702,0.07836,-0.37134,0.3297,-0.99999,-1.5737,-0.54117,1.2657,1.3961,-1.6115,1.9326,-0.2478,-0.86637,0.49869,0.46696,1.7045,-1.2996,-1.0636,0.37514,-1.156,0.027206,1.4669,-0.17751,-0.54981,-1.2675,0.15917,-0.51939,-0.12342,1.0579,-0.024108,-0.25341,1.0468,-0.19543,-0.66016,0.039739,-0.46619,-0.34334,-0.92891,1.2521,-0.12693,1.8278,-0.96147,-0.99601,0.73995,1.8763,1.3558,-0.51856,1.6417,-1.1082,1
-1.0067,0.59764,-0.034106,-0.7525,0.14024,0.35097,-0.61294,-1.0473,-1.2492,-1.1703,2.1335,0.1695,-0.14497,-1.5198,-0.96897,0.19384,-1.1866,0.69794,-0.98551,-1.3246,1.9391,-1.0329,1.2858,0.74995,-1.2374,0.47906,-1.3741,1.934,0.29771,0.18844,-0.71727,0.028344,0.038783,-1.3738,0.32803,-1.5789,2.1328,-1.2873,1.4506,0.90548,-0.21408,1.4311,-0.40036,0.01134,-0.54477,-0.46016,0.79621,0.33984,0.20935,0.47034,0.80446,-0.083928,1.2453,-1.3963,1.0705,1.1392,-0.40049,-0.46475,0.34019,0.67062,1
-0.53443,0.46501,0.56772,-0.10288,-1.4154,-0.1254,-1.2865,1.1516,1.5837,-0.58506,1.7704,1.6061,-0.23387,0.25756,-0.036932,-0.62081,1.0401,1.1893,0.07059,0.91332,0.54308,-0.7414,-0.21482,0.078182,-1.0544,-0.92476,1.6144,0.6708,0.88375,-1.02,-0.35686,-0.32013,0.094799,-0.12729,1.7449,-1.3509,0.91816,1.4689,-0.12678,-1.5714,-0.002925,0.74497,-0.71003,-0.1678,-1.4722,-1.2883,-1.3261,-0.035442,-0.080594,-0.74896,0.93919,-0.15958,1.1561,-0.74254,-1.578,-0.72908,1.6747,-1.3614,-1.5284,1.5339,1
0.80142,0.85784,1.1687,-1.049,0.65137,-1.5486,0.51164,0.4653,-0.35071,1.0107,0.36112,-0.1734,0.43728,-1.4556,-1.4955,-1.5606,-0.51898,1.2857,0.39493,-0.022655,0.75375,0.72584,-0.36641,0.93483,1.1108,-1.1119,0.69814,1.2888,-1.227,1.6544,-0.66543,-1.339,1.2404,0.44117,1.2304,1.1314,0.624,1.5727,1.0644,-1.2706,-0.48864,0.82688,-0.78918,-1.1605,-1.3828,-0.79001,1.5566,-1.1983,-0.69896,0.82564,-0.38768,0.93941,-1.0523,-1.2175,-0.14375,0.035701,-1.0778,0.14082,-0.6254,-1.5739,1
-0.92856,0.87428,-0.24839,1.2232,0.676,1.6615,-1.1056,-0.8254,-0.92164,-0.51224,-0.027459,-0.056462,-0.1865,1.4666,0.018367,-0.66189,1.7563,-0.90791,-0.1005,1.1022,-1.6135,-0.38545,-1.6495,0.56203,1.7299,0.35415,0.058302,-0.80387,-0.89898,0.16368,0.001755,-0.9125,-0.55897,1.563,-0.56979,1.1216,-1.0178,-0.90849,1.0664,-0.26279,1.1062,-1.2422,-1.2797,1.7514,0.52288,-1.645,0.25512,-0.058588,0.85879,-0.89665,0.4292,-1.6635,1.3629,0.31012,1.0215,1.6295,-0.10842,0.006766,-1.5815,-0.11401,1
-1.3928,1.5164,-0.97687,-0.33806,1.579,-1.6771,1.564,-0.040315,-0.65688,0.20838,-0.86541,0.36438,0.078682,0.15699,-0.27306,0.60792,0.45874,-1.7857,0.37392,-0.81351,0.13855,1.3943,1.6011,0.24841,-1.3015,0.64452,1.3799,-0.47216,0.48389,-0.30138,-1.6797,0.96157,-0.46334,0.59073,1.2042,0.54259,0.98169,0.045649,-0.9819,-0.64546,-0.46942,1.1479,-1.48,-0.48473,-1.0509,-1.6882,1.0493,0.31656,0.021953,-1.6423,1.5657,-0.18215,-0.36479,1.3626,-1.569,-1.433,0.65551,0.65354,0.7284,0.40295,1
-0.12577,0.39619,0.21712,1.5003,-0.10946,0.27679,0.38416,-0.71135,1.0555,-0.38325,-0.32477,-0.98194,-1.433,-0.40904,1.0982,-1.7545,-0.78996,0.67436,-1.6648,0.93492,-0.58748,0.84212,-0.9699,-1.3566,0.23322,1.6588,-0.022031,-1.7328,1.3568,0.54652,0.28213,-1.2854,1.6965,1.6335,0.66369,-1.3518,1.0391,-0.96341,1.6885,0.49784,-1.0848,-0.11437,1.4538,-1.365,-0.90565,-0.94284,-1.4808,0.68927,-1.5664,0.84842,0.62493,0.083563,-0.10587,-0.43898,-0.39837,1.1272,0.53117,0.26124,0.28254,0.78216,1
0.36025,-0.98045,-1.3939,-1.5307,-0.80612,-1.3342,-0.04121,-1.0265,-0.40336,1.6354,-1.615,0.090715,1.4964,0.41123,-1.139,-1.1599,1.0389,0.62213,0.5281,1.1303,0.63987,0.19697,-0.60746,1.6931,-1.2917,1.1323,-0.43596,-1.3204,-0.50898,-0.092365,-0.097905,0.47821,0.15142,0.096874,-0.82584,-1.7259,-0.92494,0.30485,0.77795,0.19394,0.24901,0.97577,-0.14897,1.2757,0.97132,0.93009,1.1936,-0.71068,1.5625,-1.1866,1.1838,1.5621,-0.48422,-1.3221,-0.1584,1.6449,-0.33412,-0.57793,1.0411,-1.3842,1
0.46469,-1.6024,-1.0045,0.98909,-0.60635,1.3109,-0.26252,0.54581,1.0903,-0.25787,-1.3277,0.4605,1.4534,-0.44758,-0.90111,1.2658,0.24661,-1.0797,0.082041,-1.4646,-0.20605,0.416,1.0429,-0.95766,0.4273,-1.382,-1.1272,0.26501,0.16603,-1.4352,1.3787,-1.3621,1.4483,0.61442,-1.5363,0.21397,1.3001,0.78421,-1.1905,-0.37023,-1.144,1.2282,-1.1662,0.5461,-0.27174,-0.92502,1.019,-0.078906,1.383,1.1434,1.2474,-0.040168,1.2146,-1.444,0.048833,1.1945,-0.9628,-1.4778,0.92864,0.11269,1
