att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,target
-0.485,-0.485,0.28392,1.5654,3.1032,1.8217,-0.2287,-2.0228,-1.5102,0.54022,2.3343,2.3343,0.79652,-0.99755,-1.5102,-1.7666,-1.2539,-0.74135,-0.74135,-0.74135,-0.74135,-0.485,0.027599,0.027599,0.027599,0.027599,0.027599,0.28392,0.28392,0.28392,0.027599,-0.485,-0.2287,0.027599,-0.2287,0.027599,0.027599,0.027599,-0.2287,-0.485,-0.74135,-0.99755,-0.74135,0.54022,1.8217,1.3091,0.027599,0.28392,1.0528,1.3091,1.3091,0.54022,-0.485,-0.99755,-1.5102,-1.2539,-0.485,-0.2287,0.027599,-0.2287,-0.2287,-0.2287,0.28392,0.54022,0.54022,2
-0.20316,-0.45711,0.5587,1.3205,2.5903,1.5745,-0.20316,-1.7269,-0.96494,0.050787,1.5745,2.0824,1.3205,-0.20316,-1.4729,-1.9808,-1.4729,-0.7111,-0.20316,-0.20316,-0.7111,-0.45711,-0.20316,0.050787,0.30475,0.30475,0.050787,0.30475,0.050787,-0.20316,-0.20316,-0.20316,-0.20316,0.050787,0.050787,0.050787,-0.20316,-0.20316,-0.20316,-0.45711,-0.20316,-0.7111,-0.7111,0.30475,1.0666,0.30475,0.050787,0.30475,1.5745,2.5903,2.3363,0.81264,-0.96494,-1.9808,-1.9808,-1.4729,-0.7111,0.050787,0.050787,-0.20316,-0.20316,-0.20316,0.050787,0.30475,0.30475,2
-0.39112,-0.18102,0.029089,-0.39112,-0.39112,0.23921,0.44931,0.23921,0.44931,0.029089,-0.60127,-0.18102,1.2897,1.9201,0.86953,-1.8619,-1.8619,-0.81129,0.23921,1.9201,2.5504,1.4998,0.44931,-0.60127,-0.60127,-1.0214,-0.39112,-0.18102,-0.39112,-1.0214,-1.2316,-0.60127,-0.60127,-0.39112,-0.18102,-0.18102,0.44931,0.44931,0.44931,0.44931,0.029089,-0.39112,-0.39112,-0.18102,-0.18102,-0.60127,-0.60127,-0.18102,0.23921,0.23921,-0.18102,0.23921,2.1302,1.71,-1.0214,-2.4922,0.23921,1.9201,1.9201,0.86953,0.44931,-1.2316,-1.6517,-1.0214,0.23921,1
0.2938,0.75395,0.52387,0.06371,-0.16636,-0.39644,-0.39644,-0.16636,-0.16636,-0.16636,-0.16636,-0.16636,0.2938,0.52387,-0.16636,-0.62655,-2.007,-1.3168,0.2938,0.52387,0.75395,2.3645,3.0547,3.0547,1.2141,-2.2371,-2.6972,-0.85654,-0.16636,0.98402,-0.62655,-1.3168,0.06371,0.06371,0.2938,-0.16636,-0.16636,0.06371,0.2938,0.2938,-0.16636,-0.16636,0.06371,0.06371,0.2938,0.06371,0.06371,-0.16636,0.2938,0.2938,0.06371,-0.16636,0.06371,0.2938,0.06371,-0.16636,-0.62655,-1.0867,0.06371,1.6743,0.75395,-0.85654,-2.007,-1.3168,0.98402,1
0.005877,0.005877,0.005877,0.005877,0.005877,-0.18525,0.005877,0.005877,0.38815,-0.56754,-0.94976,-0.18525,1.5349,2.4906,0.005877,-2.0965,-1.7143,-0.37638,0.96154,1.7261,1.7261,1.5349,0.96154,0.005877,-0.37638,-0.56754,-0.56754,-0.94976,-0.94976,-0.7586,-0.7586,-0.56754,0.005877,0.19702,0.38815,0.005877,0.005877,0.19702,0.19702,0.005877,0.005877,0.005877,0.005877,0.005877,0.005877,0.005877,0.005877,0.005877,-0.18525,-0.37638,0.005877,-0.37638,-1.1409,-0.94976,0.19702,-0.18525,-0.56754,0.19702,1.9172,2.8728,2.2995,0.96154,-2.0965,-2.2877,-1.1409,1
-0.14213,-0.58208,-0.36208,-0.14213,0.077823,0.29779,0.51774,0.51774,0.7377,0.077823,-0.80194,-0.58208,1.1776,2.9372,0.95765,-2.5616,-2.3416,-1.2419,0.95765,2.0574,2.0574,1.1776,0.51774,-0.36208,-0.80194,-0.58208,-0.58208,-0.58208,-0.36208,-0.36208,-0.36208,-0.36208,-1.0219,-0.80194,-0.36208,0.29779,0.51774,0.51774,0.29779,0.29779,-0.36208,-0.80194,-0.58208,0.077823,0.077823,0.51774,0.29779,0.077823,0.29779,0.51774,1.3976,1.6175,1.3976,0.95765,-1.6818,-2.3416,-0.14213,0.51774,-0.14213,-1.2419,-0.80194,-0.58208,-0.36208,0.51774,0.077823,1
-0.69721,-0.47059,-0.24401,1.3421,2.9281,2.9281,0.8889,-1.3769,-1.83,-0.69721,0.8889,2.0218,1.7952,0.43574,-0.9237,-1.6035,-1.3769,-0.69721,-0.24401,-0.47059,-0.69721,-0.47059,-0.24401,-0.24401,-0.24401,-0.24401,-0.017432,0.20916,0.20916,0.20916,-0.017432,-0.24401,-0.24401,-0.24401,-0.017432,-0.017432,-0.017432,-0.24401,-0.24401,-0.47059,-0.24401,-0.47059,-0.24401,0.20916,0.66232,-0.24401,-1.1503,-0.47059,1.3421,2.2484,2.475,1.3421,-0.24401,-1.1503,-1.3769,-0.9237,-0.017432,0.20916,-0.24401,-0.47059,-0.017432,-0.017432,-0.24401,-0.24401,-0.017432,2
-0.53461,-0.80827,-0.26099,0.83348,2.4752,1.6543,-0.26099,-1.3554,-1.0818,0.55987,2.2016,3.0224,1.6543,-0.26099,-2.1763,-2.4499,-1.0818,-0.26099,0.012623,-0.26099,-0.53461,-0.53461,-0.26099,-0.53461,-0.53461,-0.26099,0.012623,0.28625,0.28625,0.012623,0.012623,-0.26099,-0.26099,-0.26099,-0.26099,0.012623,0.012623,0.012623,-0.26099,0.012623,0.012623,-0.53461,-0.53461,-0.26099,0.012623,-0.26099,0.012623,0.83348,1.3807,2.2016,2.2016,0.55987,-0.26099,-0.80827,-1.3554,-1.3554,-0.26099,0.012623,0.012623,-0.26099,-0.53461,-0.53461,0.012623,0.55987,0.83348,2
-0.27502,-0.5233,-0.77161,-0.026742,1.4629,2.4561,1.4629,-0.27502,-1.2681,-0.77161,0.96638,2.2078,1.7112,0.22155,-1.0198,-1.5164,-1.5164,-1.2681,-0.5233,-0.026742,0.22155,-0.026742,-0.77161,-1.0198,-0.5233,-0.026742,0.46983,0.7181,0.46983,-0.026742,-0.026742,-0.27502,-0.27502,-0.27502,-0.026742,-0.026742,-0.026742,0.22155,0.46983,0.46983,-0.026742,-0.27502,-0.77161,-0.77161,-0.77161,-1.0198,-0.77161,-0.026742,0.96638,1.9595,2.9526,2.7043,0.96638,-0.77161,-1.2681,-1.0198,-1.0198,-0.5233,-0.27502,-0.026742,-0.026742,-0.27502,-0.5233,-0.27502,0.46983,2
-0.28182,-0.53982,-0.02382,1.5242,2.5562,1.5242,-0.53982,-1.8299,-1.0558,0.4922,2.2982,2.5562,0.7502,-0.28182,-1.3138,-2.0878,-1.3138,-0.28182,-0.28182,-0.28182,-0.53982,-0.28182,-0.79787,-0.53982,-0.02382,0.2342,0.4922,0.4922,-0.02382,-0.02382,-0.02382,-0.28182,-0.53982,-0.28182,-0.28182,0.2342,0.2342,-0.28182,-0.28182,-0.28182,-0.28182,-0.79787,-0.79787,-0.53982,0.2342,0.4922,-0.02382,0.7502,1.5242,2.0402,2.5562,1.0082,-0.53982,-1.3138,-1.5719,-1.3138,-0.28182,-0.02382,-0.02382,-0.02382,-0.53982,-0.53982,-0.02382,0.4922,0.7502,2
-0.29566,-0.97002,-0.97002,0.37866,1.3901,1.053,0.041492,-0.29566,0.041492,1.3901,2.4016,2.4016,0.37866,-0.97002,-1.9815,-1.9815,-0.63281,0.041492,0.041492,0.041492,-0.29566,-0.63281,0.041492,0.37866,0.71581,0.37866,0.041492,-0.29566,-0.29566,-0.29566,0.041492,-0.29566,-0.29566,-0.29566,0.37866,0.37866,0.041492,-0.29566,-0.63281,-0.29566,0.37866,0.71581,0.041492,-0.29566,0.041492,0.37866,-0.29566,-0.63281,0.37866,1.053,2.0644,2.7387,1.3901,0.041492,-1.307,-2.6557,-2.3187,-1.307,0.041492,0.041492,-0.29566,-0.63281,-0.29566,0.041492,0.71581,2
-0.43617,-0.43617,0.032439,1.4383,2.1412,1.4383,-0.43617,-1.6078,-1.1391,0.73537,2.1412,2.1412,0.73537,-0.43617,-1.3734,-1.6078,-1.1391,-0.20187,-0.20187,-0.20187,-0.67052,-0.43617,-0.43617,-0.67052,-0.43617,0.032439,0.26676,0.50106,0.26676,0.50106,0.032439,-0.20187,-0.20187,-0.20187,0.032439,0.032439,0.032439,0.26676,0.73537,0.50106,0.032439,-1.1391,-1.3734,-0.90473,-0.43617,-0.43617,0.26676,0.73537,1.9069,2.6098,2.6098,1.204,-0.90473,-1.3734,-1.3734,-1.1391,-0.90473,-0.20187,0.26676,-0.43617,-0.67052,-0.20187,-0.20187,0.26676,0.26676,2
0.023032,-0.16413,0.023032,0.023032,-0.16413,-0.35129,-0.35129,0.2102,0.39736,-0.53848,-0.91276,0.023032,1.5203,2.4561,0.58453,-2.4101,-2.2229,-0.72557,0.77169,1.5203,1.7075,1.3332,0.95885,0.2102,-0.91276,-0.91276,-0.53848,-0.35129,-0.16413,-0.35129,-0.53848,-0.35129,-0.35129,-0.35129,-0.16413,0.2102,0.2102,0.2102,0.2102,0.2102,0.023032,-0.16413,0.023032,0.2102,0.2102,0.023032,0.023032,-0.16413,0.023032,-0.16413,0.023032,-0.35129,-0.91276,-0.72557,0.2102,0.2102,-0.53848,0.2102,1.5203,2.6433,2.269,1.3332,-2.2229,-2.4101,-1.2871,1
0.00754,0.00754,-0.23772,-0.48298,-0.23772,-0.23772,-0.48298,-0.48298,0.00754,0.25282,-0.72828,-1.2188,-0.48298,1.4791,0.49808,-0.97345,-0.23772,1.2339,0.9886,0.00754,-0.48298,0.00754,0.49808,0.00754,-0.23772,0.00754,0.25282,0.25282,-0.23772,0.00754,-0.23772,0.00754,0.25282,0.25282,0.00754,0.00754,0.00754,0.00754,0.00754,0.00754,0.00754,0.00754,-0.48298,-0.97345,-0.48298,0.25282,0.00754,0.49808,-0.23772,-0.48298,0.9886,2.2149,2.9507,1.2339,-2.6903,-3.4262,-1.9545,-0.23772,1.7244,2.4602,1.4791,0.25282,-0.48298,-0.97345,-0.72828,1
0.033139,0.033139,0.033139,-0.13258,0.033139,0.033139,0.19887,0.033139,0.033139,-0.2983,-0.79545,-0.79545,0.36459,1.5246,0.86174,-1.2926,-1.2926,-0.2983,0.5303,1.6903,2.0218,1.3589,0.36459,-0.46404,-0.6297,-0.2983,-0.13258,-0.2983,-0.2983,-0.6297,-0.6297,-0.96119,-0.79545,-0.46404,-0.13258,0.19887,0.19887,0.19887,0.19887,0.36459,-0.2983,-0.46404,-0.13258,0.5303,0.19887,-0.13258,-0.13258,0.19887,0.36459,0.19887,0.19887,0.86174,1.3589,0.36459,-2.287,-2.4526,-0.2983,1.5246,2.3532,2.3532,1.8561,-0.79545,-2.7841,-1.4583,-0.79545,1
-0.28557,-0.28557,-0.63579,-0.63579,0.064651,0.064651,-0.28557,-0.28557,0.064651,0.41489,-0.28557,0.064651,0.064651,-0.63579,-0.28557,-0.63579,-0.98607,-0.63579,1.1153,1.1153,1.4655,1.4655,0.41489,0.41489,0.41489,1.1153,1.1153,-0.28557,-0.63579,-0.63579,-0.98607,-1.3361,-0.28557,0.064651,0.064651,-0.28557,-0.63579,-0.63579,0.064651,0.064651,0.064651,-0.28557,-0.28557,0.41489,0.41489,0.41489,0.41489,0.76511,0.76511,0.41489,0.064651,0.064651,0.064651,0.064651,-0.28557,0.064651,-0.63579,0.41489,2.166,3.2167,1.4655,-2.387,-4.138,-1.6864,0.41489,2
-0.47719,-0.47719,0.003695,1.4464,2.4082,1.2059,-0.71768,-1.9198,-0.95803,0.72504,2.4082,2.8891,1.2059,-0.71768,-2.4008,-1.9198,-0.71768,-0.23675,-0.47719,-0.47719,-0.47719,-0.47719,-0.47719,-0.47719,-0.23675,0.4846,0.72504,0.4846,0.003695,-0.23675,-0.23675,-0.23675,-0.23675,-0.23675,0.003695,0.003695,0.24415,0.24415,-0.23675,-0.23675,0.003695,-0.47719,-0.47719,-0.47719,-0.23675,-0.23675,-0.47719,0.24415,0.96549,2.1677,2.4082,1.4464,0.24415,-0.71768,-1.439,-0.95803,-0.47719,-0.23675,-0.23675,-0.47719,-0.47719,-0.23675,0.003695,0.4846,0.4846,2
