att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,target
1.7161,1.6775,1.6169,1.5357,1.436,1.32,1.1902,1.0495,0.90084,0.74743,0.59253,0.43937,0.29118,0.15104,0.021856,-0.093706,-0.19327,-0.27482,-0.33669,-0.37767,-0.39698,-0.39429,-0.36974,-0.32391,-0.25783,-0.17298,-0.071205,0.045296,0.17401,0.31217,0.45683,0.60489,0.75319,0.89856,1.0379,1.1682,1.2867,1.3908,1.4782,1.547,1.5955,1.6226,1.6275,1.6099,1.5698,1.5077,1.4245,1.3215,1.2003,1.0629,0.91146,0.74844,0.57642,0.39812,0.21632,0.03379,-0.14675,-0.32269,-0.49155,-0.65109,-0.79928,-0.93437,-1.0549,-1.1598,-1.2481,-1.3195,-1.3739,-1.4114,-1.4325,-1.4381,-1.4292,-1.4071,-1.3734,-1.3297,-1.2777,-1.2194,-1.1566,-1.0911,-1.0249,-0.95953,-0.89679,-0.83808,-0.78471,-0.73777,-0.69815,-0.66651,-0.64331,-0.62875,-0.62283,-0.62533,-0.63584,-0.65377,-0.67839,-0.70881,-0.74406,-0.78309,-0.8248,-0.86807,-0.91178,10
0.31282,0.84004,1.4234,2.0156,2.5639,3.0163,3.3278,3.4656,3.4137,3.1746,2.7698,2.2365,1.624,0.98742,0.38156,-0.14552,-0.5575,-0.83329,-0.96847,-0.97448,-0.87594,-0.70637,-0.50324,-0.3027,-0.13514,-0.021796,0.027056,0.012159,-0.056165,-0.16069,-0.2807,-0.39551,-0.48764,-0.54517,-0.56297,-0.54274,-0.49207,-0.42253,-0.34746,-0.27966,-0.22934,-0.20283,-0.20193,-0.22409,-0.26331,-0.31148,-0.35993,-0.40089,-0.42865,-0.44031,-0.43592,-0.41818,-0.39163,-0.36179,-0.33406,-0.31287,-0.30103,-0.29948,-0.30734,-0.32229,-0.3411,-0.36033,-0.37692,-0.38862,-0.39429,-0.39397,-0.38866,-0.38007,-0.3702,-0.36095,-0.35383,-0.34975,-0.34892,-0.35098,-0.35513,-0.36032,-0.36555,-0.37021,-0.37346,-0.37509,-0.37528,-0.37447,-0.37321,-0.372,-0.37165,-0.37287,-0.37397,-0.37488,-0.37551,-0.37584,-0.37583,-0.37547,-0.37482,-0.37387,-0.37266,-0.37127,-0.3698,-0.36836,-0.36705,10
-0.40639,0.15068,0.8047,1.5022,2.1812,2.7779,3.2347,3.5069,3.5684,3.4146,3.0631,2.5514,1.9322,1.2668,0.61763,0.041106,-0.41866,-0.73429,-0.89712,-0.91675,-0.81828,-0.63765,-0.41606,-0.19409,-0.006391,0.12223,0.17906,0.16382,0.087146,-0.032278,-0.17147,-0.30714,-0.41929,-0.4939,-0.52445,-0.51207,-0.46454,-0.39428,-0.31588,-0.24357,-0.18895,-0.15946,-0.15761,-0.18121,-0.22419,-0.27807,-0.33362,-0.38245,-0.41829,-0.43779,-0.44069,-0.42949,-0.40873,-0.3839,-0.36045,-0.34282,-0.33384,-0.3344,-0.34356,-0.35894,-0.37732,-0.39529,-0.40989,-0.41907,-0.42192,-0.41872,-0.41072,-0.39981,-0.38812,-0.3776,-0.36974,-0.36536,-0.36456,-0.36687,-0.37135,-0.3769,-0.38246,-0.38719,-0.39058,-0.39252,-0.39319,-0.393,-0.39244,-0.39196,-0.39233,-0.39421,-0.39584,-0.39714,-0.39811,-0.39878,-0.39921,-0.39949,-0.39982,-0.40021,-0.40068,-0.40127,-0.40205,-0.40301,-0.40412,10
0.55383,0.83346,1.0939,1.3145,1.4763,1.5638,1.5674,1.4842,1.3194,1.0856,0.80186,0.49199,0.18168,-0.10423,-0.34469,-0.52486,-0.63789,-0.68567,-0.67837,-0.633,-0.5709,-0.51462,-0.4845,-0.49557,-0.55488,-0.66008,-0.79909,-0.95122,-1.0895,-1.1843,-1.2066,-1.1332,-0.94908,-0.65113,-0.24952,0.23393,0.766,1.3057,1.8083,2.2302,2.5336,2.6907,2.6865,2.5211,2.2089,1.7775,1.2646,0.71383,0.17017,-0.32462,-0.73609,-1.0401,-1.2248,-1.2905,-1.249,-1.1211,-0.93334,-0.7147,-0.49283,-0.2911,-0.12639,-0.007846,0.063165,0.092149,0.089729,0.069373,0.044959,0.028495,0.028346,0.048103,0.086264,0.1367,0.18977,0.23395,0.25764,0.25095,0.20721,0.12402,0.003644,-0.14715,-0.31786,-0.49552,-0.66613,-0.81662,-0.93556,-1.0147,-1.0503,-1.043,-0.99774,-0.92321,-0.83057,-0.73256,-0.64196,-0.56916,-0.52294,-0.50881,-0.52845,-0.57958,-0.65621,10
0.89791,2.1667,3.2136,3.5703,3.0557,1.905,0.64743,-0.19572,-0.39519,-0.098707,0.32133,0.53473,0.4465,0.19821,0.010148,0.002837,0.1287,0.24582,0.25632,0.19407,0.19838,0.40325,0.82982,1.3577,1.792,1.9785,1.8924,1.6483,1.43,1.3809,1.5165,1.7115,1.7695,1.5381,1.0028,0.30864,-0.32161,-0.70745,-0.79432,-0.67624,-0.51824,-0.44676,-0.48655,-0.57575,-0.63242,-0.61717,-0.55527,-0.50322,-0.49801,-0.53557,-0.58282,-0.60759,-0.60306,-0.58673,-0.57879,-0.58347,-0.59067,-0.5886,-0.57139,-0.54988,-0.53986,-0.54501,-0.55999,-0.57693,-0.58909,-0.59509,-0.60079,-0.6115,-0.62138,-0.62539,-0.61946,-0.60302,-0.58093,-0.56137,-0.55138,-0.55324,-0.56411,-0.57787,-0.58814,-0.59184,-0.5901,-0.58676,-0.58695,-0.59461,-0.6102,-0.6304,-0.64957,-0.66221,-0.66603,-0.66426,-0.6644,-0.67341,-0.69335,-0.71865,-0.73745,-0.73801,-0.71591,-0.67727,-0.63627,3
-0.4839,3.3077,6.2271,5.4289,1.9422,-0.66595,-0.59995,0.62009,0.8635,0.092306,-0.35366,-0.002971,0.38184,0.25248,-0.032322,-0.020033,0.1562,0.18585,0.13584,0.22936,0.41434,0.47345,0.40091,0.37251,0.42793,0.43362,0.3474,0.29001,0.31116,0.2995,0.14891,-0.044595,-0.10239,-0.012795,0.065766,0.051754,0.048771,0.15012,0.27445,0.27853,0.17438,0.096498,0.098991,0.095562,0.019416,-0.06852,-0.088016,-0.06494,-0.094608,-0.19317,-0.28302,-0.29987,-0.2695,-0.25517,-0.27544,-0.30397,-0.31575,-0.31842,-0.32859,-0.35048,-0.37124,-0.38113,-0.38473,-0.39273,-0.40777,-0.41774,-0.4218,-0.43305,-0.4598,-0.48108,-0.47222,-0.4458,-0.44293,-0.47841,-0.51476,-0.51601,-0.4965,-0.49743,-0.52155,-0.53183,-0.51529,-0.50337,-0.52255,-0.54728,-0.54408,-0.52358,-0.52147,-0.5386,-0.54441,-0.5373,-0.5469,-0.57609,-0.58138,-0.5498,-0.53663,-0.58304,-0.62428,-0.54913,-0.35561,9
-0.33745,1.9763,4.4074,5.6455,5.0092,2.9204,0.5982,-0.78579,-0.84317,-0.074985,0.65121,0.77909,0.37217,-0.10328,-0.24513,-0.018198,0.30546,0.43597,0.29786,0.03231,-0.17201,-0.23599,-0.21169,-0.19154,-0.21642,-0.26166,-0.28589,-0.27678,-0.25378,-0.23953,-0.23795,-0.23924,-0.23708,-0.23499,-0.23901,-0.25183,-0.25666,-0.25262,-0.2449,-0.23766,-0.23396,-0.23536,-0.24078,-0.24854,-0.25557,-0.25664,-0.24945,-0.23755,-0.22784,-0.22681,-0.23515,-0.24489,-0.2455,-0.23244,-0.21086,-0.19287,-0.18957,-0.20291,-0.22435,-0.2413,-0.24581,-0.23945,-0.23159,-0.23178,-0.24258,-0.25842,-0.26974,-0.26959,-0.25881,-0.24522,-0.23816,-0.24294,-0.25778,-0.27491,-0.28668,-0.29078,-0.29085,-0.2932,-0.30137,-0.31244,-0.31967,-0.31865,-0.31114,-0.30421,-0.30476,-0.31352,-0.32472,-0.33151,-0.33147,-0.32816,-0.32767,-0.33268,-0.34052,-0.34691,-0.35046,-0.3535,-0.35903,-0.36578,-0.36694,10
-0.86795,-0.19553,0.59257,1.3932,2.0945,2.5972,2.834,2.7824,2.4702,1.9693,1.3817,0.81918,0.38163,0.13822,0.11551,0.29491,0.61937,1.0078,1.3737,1.6434,1.7707,1.7443,1.5866,1.3458,1.0821,0.85324,0.70084,0.64248,0.66968,0.75236,0.84819,0.91413,0.91728,0.8425,0.69509,0.49827,0.2865,0.096353,-0.042506,-0.11401,-0.11885,-0.073303,-0.004498,0.056667,0.082936,0.056812,-0.026086,-0.15694,-0.31669,-0.48102,-0.62616,-0.73394,-0.79514,-0.81045,-0.78915,-0.74602,-0.69748,-0.65781,-0.63639,-0.63656,-0.65587,-0.68775,-0.72376,-0.75594,-0.77864,-0.78948,-0.78934,-0.7816,-0.77087,-0.76324,-0.75947,-0.76112,-0.76832,-0.77976,-0.79325,-0.80677,-0.81765,-0.82447,-0.82706,-0.82625,-0.82348,-0.82116,-0.82014,-0.82089,-0.82417,-0.83019,-0.83853,-0.8486,-0.85896,-0.86738,-0.87261,-0.87382,-0.87065,-0.86345,-0.85323,-0.84008,-0.8256,-0.81165,-0.80006,10
-0.53548,3.5841,6.4604,4.9495,0.95385,-1.2606,-0.57512,0.54129,0.27055,-0.49933,-0.43249,0.19892,0.46214,0.29817,0.22541,0.36986,0.48327,0.48625,0.48499,0.5036,0.47905,0.41621,0.37713,0.39768,0.44542,0.46359,0.39688,0.30321,0.27208,0.28938,0.26982,0.2031,0.16421,0.18082,0.18735,0.13459,0.073804,0.079145,0.14083,0.17084,0.12463,0.047742,0.017383,0.03391,0.038355,-0.001142,-0.036826,-0.024874,0.001503,-0.03141,-0.12403,-0.19759,-0.19758,-0.1648,-0.17216,-0.22488,-0.26092,-0.24221,-0.21358,-0.23706,-0.30171,-0.33177,-0.30527,-0.28912,-0.34274,-0.42109,-0.44821,-0.42908,-0.42981,-0.46026,-0.4734,-0.46218,-0.47697,-0.52835,-0.55923,-0.53816,-0.51031,-0.52324,-0.55792,-0.57659,-0.58273,-0.59938,-0.61552,-0.60951,-0.59296,-0.59872,-0.62514,-0.63583,-0.61075,-0.57785,-0.57777,-0.61205,-0.64024,-0.63253,-0.6083,-0.60573,-0.62505,-0.62919,-0.6043,9
-0.36047,0.15316,0.75267,1.3923,2.0187,2.5769,3.0165,3.2978,3.3967,3.3071,3.0421,2.6317,2.1194,1.5571,0.99832,0.4925,0.079481,-0.21444,-0.37856,-0.41775,-0.35053,-0.20552,-0.016966,0.18009,0.35429,0.48149,0.54701,0.54637,0.48453,0.37398,0.23201,0.077623,-0.071384,-0.20075,-0.30128,-0.36941,-0.40683,-0.41935,-0.41535,-0.40396,-0.39346,-0.39002,-0.39703,-0.41489,-0.44148,-0.47289,-0.50442,-0.53153,-0.55071,-0.55999,-0.55912,-0.54943,-0.53343,-0.51425,-0.49505,-0.47841,-0.46606,-0.45869,-0.456,-0.45697,-0.46017,-0.4641,-0.46758,-0.46983,-0.47068,-0.47043,-0.4698,-0.46963,-0.47072,-0.47361,-0.4785,-0.48512,-0.49293,-0.50114,-0.50895,-0.51565,-0.52078,-0.52428,-0.52622,-0.52701,-0.52721,-0.52742,-0.52814,-0.52964,-0.53241,-0.53676,-0.54059,-0.54349,-0.54523,-0.54569,-0.54492,-0.54312,-0.54084,-0.53824,-0.53554,-0.53318,-0.53156,-0.53095,-0.53148,10
-0.12509,0.9186,2.1137,3.212,3.9703,4.2237,3.9363,3.2111,2.2553,1.3144,0.59696,0.21685,0.17051,0.35409,0.61179,0.7953,0.81328,0.65379,0.37566,0.075784,-0.15272,-0.25433,-0.22645,-0.11243,0.021373,0.11376,0.13038,0.071498,-0.034479,-0.14715,-0.2316,-0.2706,-0.26754,-0.24068,-0.2128,-0.20098,-0.2112,-0.23846,-0.27141,-0.29858,-0.31313,-0.31478,-0.30845,-0.30117,-0.29879,-0.30404,-0.31631,-0.33277,-0.35012,-0.36492,-0.37526,-0.38042,-0.38104,-0.37916,-0.3723,-0.36373,-0.35747,-0.3573,-0.36433,-0.37716,-0.3937,-0.4111,-0.4271,-0.43902,-0.44628,-0.45013,-0.45259,-0.45587,-0.46023,-0.46571,-0.47157,-0.4768,-0.48046,-0.48175,-0.48126,-0.48032,-0.48075,-0.48366,-0.48954,-0.49826,-0.50882,-0.51978,-0.52909,-0.53549,-0.53876,-0.53983,-0.54058,-0.54273,-0.54797,-0.55689,-0.56871,-0.58107,-0.59075,-0.5949,-0.59185,-0.58187,-0.5668,-0.55002,-0.53542,1
-1.4521,-1.869,-1.7891,-0.67205,1.2601,3.0858,3.9116,3.5549,2.5294,1.4932,0.78179,0.38043,0.17646,0.098305,0.090755,0.081968,0.025479,-0.0416,-0.065338,-0.049921,-0.048548,-0.095379,-0.1577,-0.20635,-0.25613,-0.32841,-0.39788,-0.39913,-0.33115,-0.27372,-0.29262,-0.3412,-0.30533,-0.17274,-0.04706,-0.039961,-0.094021,-0.014627,0.28959,0.68651,0.93612,0.94948,0.87202,0.89541,1.0571,1.2131,1.2236,1.1053,0.98827,0.97538,1.0267,1.015,0.85928,0.60233,0.37932,0.28325,0.29313,0.31276,0.27792,0.21817,0.18669,0.18304,0.1504,0.058886,-0.041114,-0.088048,-0.079924,-0.078099,-0.11777,-0.16153,-0.17193,-0.16842,-0.21872,-0.34117,-0.46965,-0.53617,-0.53727,-0.5382,-0.58327,-0.64925,-0.69511,-0.71123,-0.73303,-0.78333,-0.84233,-0.88108,-0.89691,-0.92814,-1.0029,-1.1025,-1.1763,-1.1873,-1.1644,-1.1775,-1.2682,-1.3956,-1.4539,-1.3782,-1.2095,7
0.24275,0.76482,1.3451,1.9377,2.4913,2.9548,3.2837,3.445,3.4217,3.2146,2.8429,2.3414,1.7567,1.1415,0.54877,0.025384,-0.39252,-0.68315,-0.84047,-0.87367,-0.80462,-0.66405,-0.48674,-0.30674,-0.15298,-0.046097,0.003368,-0.004869,-0.062108,-0.15311,-0.2592,-0.36159,-0.44429,-0.4963,-0.5128,-0.49521,-0.45029,-0.38847,-0.32178,-0.26173,-0.21746,-0.19456,-0.1945,-0.21483,-0.25004,-0.29278,-0.33529,-0.37074,-0.39428,-0.40366,-0.39932,-0.38399,-0.36206,-0.33855,-0.31825,-0.30488,-0.30058,-0.30566,-0.31879,-0.33737,-0.3581,-0.37766,-0.39328,-0.40313,-0.40657,-0.40413,-0.39731,-0.3882,-0.37909,-0.37205,-0.36857,-0.36939,-0.37446,-0.38302,-0.39381,-0.40535,-0.41617,-0.42532,-0.43171,-0.43501,-0.43542,-0.43355,-0.43023,-0.42638,-0.42323,-0.42194,-0.42118,-0.42118,-0.42206,-0.42381,-0.4263,-0.4293,-0.43258,-0.4357,-0.43822,-0.43985,-0.44036,-0.43968,-0.43782,10
